Track file,G:\Water Maze Data\xxx_0001\data\track_00490.trk
Object,0
Samples,1077
Name,10,
Goal Position,SW,
Comment,,
Trial,3,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,220.9763,137.9320,73.0000,wall,q1,0.0000,2.2542,96.6102,-,-
2,0.0800,220.6199,139.0012,75.0000,wall,q1,0.0000,2.2542,96.6733,1.1271,14.0885
3,0.1600,220.2634,139.7140,79.0000,wall,q1,0.0000,2.3909,96.6129,0.7970,9.9621
4,0.2400,208.1454,141.1397,81.0000,wall,q1,0.0000,12.5961,86.1632,12.2016,152.5203
5,0.3200,207.0761,140.7833,97.0000,wall,q1,0.0000,13.7115,85.0472,1.1271,14.0885
6,0.4000,204.9377,139.3576,62.0000,wall,q1,0.0000,16.2589,82.4978,2.5701,32.1267
7,0.4800,203.8684,138.6448,46.0000,wall,q1,0.0000,17.5332,81.2236,1.2851,16.0633
8,0.5600,203.1556,138.6448,59.0000,wall,q1,0.0000,18.1736,80.5845,0.7128,8.9103
9,0.6400,202.4428,138.6448,84.0000,wall,q1,0.0000,18.8090,79.9466,0.7128,8.9103
10,0.7200,201.7299,139.0012,89.0000,wall,q1,0.0000,19.2892,79.4716,0.7970,9.9621
11,0.8000,200.6607,139.3576,105.0000,wall,q1,0.0000,20.0892,78.6860,1.1271,14.0885
12,0.8800,199.5915,140.7833,109.0000,wall,q1,0.0000,20.2937,78.4209,1.7821,22.2758
13,0.9600,199.2351,141.8525,96.0000,wall,q1,0.0000,20.0671,78.6345,1.1271,14.0885
14,1.0400,199.2351,142.9217,100.0000,wall,q1,0.0000,19.4988,79.1707,1.0692,13.3655
15,1.1200,199.5915,143.9910,106.0000,wall,q1,0.0000,18.6599,80.0231,1.1271,14.0885
16,1.2000,200.6607,144.3474,99.0000,wall,q1,0.0000,17.5513,81.1237,1.1271,14.0885
17,1.2800,201.7299,144.3474,94.0000,wall,q1,0.0000,16.6258,82.0440,1.0692,13.3655
18,1.3600,203.1556,143.6346,93.0000,wall,q1,0.0000,15.7871,82.9235,1.5939,19.9241
19,1.4400,204.2248,142.5653,97.0000,wall,q1,0.0000,15.4208,83.3406,1.5121,18.9017
20,1.5200,204.9377,140.7833,90.0000,wall,q1,0.0000,15.6213,83.1391,1.9193,23.9918
21,1.6000,205.6505,139.0012,93.0000,wall,q1,0.0000,15.7831,82.9814,1.9193,23.9918
22,1.6800,205.6505,136.8627,92.0000,wall,q1,0.0000,16.7363,82.0715,2.1385,26.7310
23,1.7600,205.6505,135.0807,89.0000,wall,q1,0.0000,17.5332,81.3484,1.7821,22.2758
24,1.8400,204.5813,133.2986,90.0000,wall,q1,0.0000,19.2760,79.6693,2.0782,25.9779
25,1.9200,203.1556,131.8729,92.0000,wall,q1,0.0000,21.0767,77.8105,2.0162,25.2022
26,2.0000,201.7299,131.1601,99.0000,center,q1,0.0000,22.6568,76.2219,1.5939,19.9241
27,2.0800,199.9479,130.8037,86.0000,center,q1,0.0000,24.4579,74.4358,1.8174,22.7170
28,2.1600,197.8094,130.8037,92.0000,center,q1,0.0000,26.4611,72.4587,2.1385,26.7310
29,2.2400,196.0273,130.8037,95.0000,center,q1,0.0000,28.0550,70.8183,1.7821,22.2758
30,2.3200,194.2453,131.5165,97.0000,center,q1,0.0000,29.3300,69.4763,1.9193,23.9918
