Track file,G:\Water Maze Data\xxx_0001\data\track_00898.trk
Object,0
Samples,1500
Name,9,
Goal Position,none,
Comment,,
Trial,6,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,65.2236,144.3474,44.0000,wall,q3,0.0000,20.8586,77.7678,-,-
2,0.0800,64.1544,143.2782,47.0000,wall,q3,0.0000,20.5611,78.1147,1.5121,18.9017
3,0.1600,64.8672,143.6346,44.0000,wall,q3,0.0000,20.9649,77.6925,0.7970,9.9621
4,0.2400,66.2929,144.3474,45.0000,wall,q3,0.0000,21.7617,76.8659,1.5939,19.9241
5,0.3200,67.0057,145.0602,40.0000,wall,q3,0.0000,22.0170,76.6575,1.0081,12.6011
6,0.4000,54.1748,161.0988,64.0000,wall,q2,0.0000,2.2542,96.4096,20.5394,256.7429
7,0.4800,54.1748,162.5245,82.0000,wall,q2,0.0000,1.2851,97.2781,1.4257,17.8207
8,0.5600,66.6493,146.1295,79.0000,wall,q3,0.0000,21.1008,77.5473,20.6012,257.5148
9,0.6400,67.3621,146.1295,80.0000,wall,q2,0.0000,21.6710,76.9570,0.7128,8.9103
10,0.7200,67.7185,145.4166,85.0000,wall,q3,0.0000,22.3832,76.2622,0.7970,9.9621
11,0.8000,67.7185,145.0602,87.0000,wall,q3,0.0000,22.6007,76.0637,0.3564,4.4552
12,0.8800,67.7185,144.3474,84.0000,wall,q3,0.0000,22.9880,75.6702,0.7128,8.9103
13,0.9600,68.0749,143.6346,76.0000,center,q3,0.0000,23.6552,74.9821,0.7970,9.9621
14,1.0400,68.0749,142.9217,69.0000,center,q3,0.0000,24.0282,74.5964,0.7128,8.9103
15,1.1200,68.0749,142.5653,72.0000,center,q3,0.0000,24.2204,74.4054,0.3564,4.4552
16,1.2000,68.0749,141.8525,75.0000,center,q3,0.0000,24.6158,74.0271,0.7128,8.9103
17,1.2800,68.0749,141.4961,73.0000,center,q3,0.0000,24.8188,73.8398,0.3564,4.4552
18,1.3600,67.7185,140.7833,73.0000,center,q3,0.0000,24.8903,73.7742,0.7970,9.9621
19,1.4400,67.3621,140.0704,81.0000,center,q3,0.0000,24.9387,73.7173,0.7970,9.9621
20,1.5200,66.6493,139.3576,88.0000,center,q3,0.0000,24.7136,73.9786,1.0081,12.6011
21,1.6000,66.2929,139.0012,91.0000,center,q3,0.0000,24.5796,74.1140,0.5040,6.3006
22,1.6800,65.5801,138.6448,85.0000,center,q3,0.0000,24.1442,74.5650,0.7970,9.9621
23,1.7600,64.8672,138.2884,81.0000,center,q3,0.0000,23.7276,75.0218,0.7970,9.9621
24,1.8400,64.5108,137.9320,79.0000,center,q3,0.0000,23.5988,75.1689,0.5040,6.3006
25,1.9200,63.7980,137.5755,72.0000,wall,q3,0.0000,23.1120,75.6354,0.7970,9.9621
26,2.0000,63.7980,136.5063,76.0000,center,q3,0.0000,23.5907,75.1501,1.0692,13.3655
27,2.0800,63.4416,136.1499,84.0000,center,q3,0.0000,23.4313,75.3104,0.5040,6.3006
28,2.1600,63.7980,135.4371,84.0000,center,q3,0.0000,24.0704,74.6768,0.7970,9.9621
29,2.2400,63.7980,134.3678,82.0000,center,q3,0.0000,24.5486,74.2160,1.0692,13.3655
30,2.3200,63.7980,134.0114,79.0000,center,q3,0.0000,24.7059,74.0652,0.3564,4.4552
31,2.4000,64.5108,133.2986,79.0000,center,q3,0.0000,25.6642,73.1193,1.0081,12.6011
32,2.4800,64.8672,132.2293,85.0000,center,q3,0.0000,26.4611,72.3543,1.1271,14.0885
33,2.5600,64.8672,131.8729,86.0000,center,q3,0.0000,26.6191,72.2101,0.3564,4.4552
34,2.6400,65.2236,131.1601,80.0000,center,q3,0.0000,27.2580,71.5988,0.7970,9.9621
35,2.7200,65.5801,130.4473,88.0000,center,q3,0.0000,27.8938,70.9912,0.7970,9.9621
36,2.8000,65.5801,129.7345,87.0000,center,q3,0.0000,28.1769,70.7168,0.7128,8.9103
37,2.8800,65.5801,129.0216,94.0000,center,q3,0.0000,28.4104,70.4486,0.7128,8.9103
