Track file,G:\Water Maze Data\xxx_0001\data\track_00134.trk
Object,0
Samples,152
Name,10,
Goal Position,NE,
Comment,,
Trial,3,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,52.3928,74.4904,77.0000,wall,q3,0.0000,15.3299,83.5306,-,-
2,0.0800,51.6799,74.1340,69.0000,wall,q3,0.0000,14.5432,84.3221,0.7970,9.9621
3,0.1600,51.6799,74.4904,63.0000,wall,q3,0.0000,14.6520,84.2015,0.3564,4.4552
4,0.2400,52.7492,75.2032,84.0000,wall,q3,0.0000,15.8954,82.9554,1.2851,16.0633
5,0.3200,53.8184,76.2725,81.0000,wall,q3,0.0000,17.2741,81.5938,1.5121,18.9017
6,0.4000,54.8877,77.6981,91.0000,wall,q3,0.0000,18.8192,80.1252,1.7821,22.2758
7,0.4800,55.2441,79.4802,99.0000,wall,q3,0.0000,19.7319,79.2438,1.8174,22.7170
8,0.5600,55.6005,81.6187,93.0000,wall,q3,0.0000,20.6628,78.2974,2.1680,27.0997
9,0.6400,55.6005,84.1135,94.0000,wall,q3,0.0000,21.2657,77.6591,2.4949,31.1862
10,0.7200,55.2441,86.2520,95.0000,wall,q3,0.0000,21.4441,77.5201,2.1680,27.0997
11,0.8000,54.1748,88.0341,103.0000,wall,q3,0.0000,20.8220,78.2087,2.0782,25.9779
12,0.8800,52.7492,90.1726,97.0000,wall,q3,0.0000,19.7190,79.2398,2.5701,32.1267
13,0.9600,50.6107,91.2418,86.0000,wall,q3,0.0000,17.7564,81.1923,2.3909,29.8862
14,1.0400,49.1850,91.2418,80.0000,wall,q3,0.0000,16.3562,82.6037,1.4257,17.8207
15,1.1200,48.1158,90.8854,80.0000,wall,q3,0.0000,15.2385,83.7125,1.1271,14.0885
16,1.2000,47.4030,89.1033,77.0000,wall,q3,0.0000,14.2966,84.6884,1.9193,23.9918
17,1.2800,47.4030,87.6777,86.0000,wall,q3,0.0000,14.0637,84.9309,1.4257,17.8207
18,1.3600,47.7594,85.8956,86.0000,wall,q3,0.0000,14.0997,84.9173,1.8174,22.7170
19,1.4400,48.8286,84.8264,89.0000,wall,q3,0.0000,14.8843,84.0920,1.5121,18.9017
20,1.5200,50.6107,83.7571,86.0000,wall,q3,0.0000,16.3523,82.5923,2.0782,25.9779
21,1.6000,52.7492,83.4007,89.0000,wall,q3,0.0000,18.3267,80.5982,2.1680,27.0997
22,1.6800,54.5312,83.4007,87.0000,wall,q3,0.0000,20.0639,78.8698,1.7821,22.2758
23,1.7600,57.0261,83.4007,81.0000,wall,q3,0.0000,22.4767,76.4541,2.4949,31.1862
24,1.8400,58.4518,83.7571,92.0000,wall,q3,0.0000,23.9461,74.9847,1.4695,18.3691
25,1.9200,60.5903,84.4700,90.0000,center,q3,0.0000,26.1958,72.7354,2.2542,28.1769
26,2.0000,62.3723,85.1828,87.0000,center,q3,0.0000,28.1025,70.8316,1.9193,23.9918
27,2.0800,63.7980,86.2520,87.0000,center,q3,0.0000,29.7365,69.1879,1.7821,22.2758
28,2.1600,65.2236,88.0341,90.0000,center,q3,0.0000,31.5521,67.3914,2.2822,28.5270
29,2.2400,66.2929,89.4597,96.0000,center,q3,0.0000,32.9388,66.0456,1.7821,22.2758
30,2.3200,66.6493,91.2418,100.0000,center,q3,0.0000,33.6334,65.3576,1.8174,22.7170
31,2.4000,67.0057,93.0239,95.0000,center,q3,0.0000,34.2250,64.7133,1.8174,22.7170
